decile,dt,wieghted_median,wieghted_mean,wieghted_25q,wieghted_high_75q,wieghted_sd
9,2020-03-17,0.347466716311163,0.351157287037358,0.331097131818476,0.37030874484074,0.0334006933366497
8,2020-03-17,0.33689847348248,0.336760657016785,0.318255632797092,0.35693384052507,0.0316439839049908
10,2020-03-17,0.392466385878534,0.392974394369184,0.366657852534982,0.415407901959668,0.0447277186917753
6,2020-03-12,0.279139736474193,0.279379820892314,0.260231120343613,0.299251857470977,0.0328919446383552
3,2020-03-12,0.281646675911186,0.281071257217364,0.262645027344935,0.300935549631007,0.0331999230017279
2,2020-04-21,0.520382790576829,0.520676991052913,0.501335890922279,0.539016753716233,0.0330218762415086
1,2020-04-21,0.515819710180083,0.51814609367245,0.496787620836046,0.540570248137129,0.0377720052612667
4,2020-04-21,0.53363763656749,0.531878133900338,0.514570268009311,0.555902798234449,0.0334449048409071
7,2020-04-21,0.559390961724734,0.557096409074068,0.53886356546167,0.575547394760934,0.0322261522490625
3,2020-04-21,0.529322732904832,0.529626053624291,0.510288994347695,0.55058395549804,0.0322301351998508
10,2020-04-21,0.625774287395933,0.618885111861301,0.589190170421342,0.658412830863367,0.0537655199951665
9,2020-04-21,0.601535825236238,0.599188603755585,0.571344642814216,0.628779210885159,0.0413805588487836
8,2020-04-21,0.574347140597351,0.571902862168952,0.547604442589427,0.595899217751081,0.0370459066468024
6,2020-04-21,0.549575987430182,0.548339603357011,0.531899694703238,0.568089233434183,0.0296784657983658
6,2020-03-19,0.377578666086072,0.378140675375996,0.356800420230375,0.400087690764755,0.032474696472624
9,2020-03-19,0.419966937094487,0.420697325489528,0.398361690655327,0.446616321403082,0.0355752131267393
8,2020-03-19,0.390361320147611,0.394477418516372,0.377023428733498,0.414667110782564,0.0320959630019926
2,2020-04-02,0.485681335985056,0.485652901270975,0.465032995317467,0.504548368529546,0.0316896574275748
1,2020-04-02,0.488942149043194,0.484231658017475,0.459999341264045,0.510065051334028,0.0403070927646532
10,2020-04-02,0.61782290699917,0.609797388274223,0.582086862415939,0.644408265406926,0.0558443630843346
3,2020-04-02,0.489964674144451,0.491201412231994,0.474203310758787,0.509318984026012,0.0311540755474328
4,2020-04-02,0.493034881508857,0.494976956159732,0.47622863579794,0.5122652304822,0.0314181906659425
6,2020-04-14,0.492179631128205,0.49133940952648,0.469077496278149,0.515255266488571,0.0337495077042941
2,2020-04-14,0.463012154550181,0.466139321387776,0.44564129155789,0.485446436617508,0.030517900945933
9,2020-04-14,0.552051220610387,0.551716117567482,0.522167638113061,0.582637770940801,0.0437957195312738
10,2020-04-14,0.596824323191406,0.592828194165142,0.55674327279897,0.639256881776347,0.0576298813968194
10,2020-03-10,0.298453212241838,0.300670222155489,0.2760267609943,0.325082620770826,0.040577832966716
5,2020-03-10,0.282854507542695,0.286501265805206,0.267611906753173,0.306264214572607,0.0296675747271124
1,2020-03-10,0.300050771271979,0.300123860264582,0.278226638426382,0.32323406664298,0.037569662882009
6,2020-04-08,0.483940125481765,0.483657948923119,0.459963648413696,0.505282835911774,0.0343362050167389
2,2020-04-08,0.458512449430269,0.454711386079013,0.434029542938912,0.472964494432902,0.032767773618103
1,2020-04-08,0.453746982342028,0.452956758454437,0.431201002186497,0.475632372236492,0.0425309683911067
5,2020-04-08,0.474334459210929,0.474036812815239,0.456332706403462,0.496367308193013,0.0331115764589934
8,2020-04-08,0.5112230431577,0.512375243068897,0.487847669631997,0.538834553170917,0.037905717036287
4,2020-04-08,0.466586600047743,0.467057802617372,0.446486869645072,0.489337943398055,0.0324748593045075
3,2020-04-08,0.46008081354129,0.460823749258899,0.43917992307563,0.481816486836244,0.0331708020702211
7,2020-04-08,0.494926693833884,0.497006155088812,0.47701044076049,0.517421026159526,0.0348805150044076
9,2020-04-08,0.546878223703024,0.546101147210266,0.516793774549732,0.574989784293737,0.0412056594879821
3,2020-04-07,0.468839154603883,0.468975383820688,0.452466460895796,0.484224716699833,0.0335711870981123
1,2020-04-07,0.464194127598509,0.463091771381626,0.43976140568834,0.487168556503861,0.0413985148079027
10,2020-04-07,0.603132362388766,0.600667074430483,0.57009062666515,0.634314674982526,0.0518641291178776
6,2020-04-07,0.492553677991873,0.493041733303478,0.474700018101962,0.511187990686319,0.032342613665722
8,2020-04-07,0.517830126468207,0.518930241540843,0.497657552944209,0.542570088422741,0.0382807609993751
7,2020-04-07,0.503873330035536,0.503184197460966,0.485385216532964,0.524580277444164,0.0332746516545704
5,2020-04-07,0.477719841790275,0.479462537771383,0.459675899774628,0.499238700802074,0.0307923035618425
3,2020-03-22,0.617850073388736,0.61671557091029,0.594882786662537,0.637072269927249,0.0336764018971261
5,2020-03-22,0.625765794660653,0.627159224256801,0.603182537240528,0.64995019270017,0.0365155856022786
1,2020-03-22,0.593560772011218,0.59338274547787,0.569667165707075,0.613952096127453,0.0422587849703373
2,2020-03-22,0.603538464522981,0.602073886891393,0.582324574296421,0.621576722688316,0.0337801900956671
7,2020-03-22,0.653080155961043,0.652775569655001,0.634473213403357,0.668143586489734,0.0309509797494129
4,2020-03-22,0.617664825851189,0.618802513921184,0.594788253411227,0.637685404026294,0.0319444103876865
6,2020-03-24,0.559170999017372,0.556731869961057,0.532787938028763,0.575276973460265,0.035326716442442
1,2020-03-24,0.52217325329302,0.519747804462121,0.493050563835799,0.548185031032717,0.0442589086565376
8,2020-03-24,0.577093614478573,0.580869907948805,0.558229687246891,0.600017664648605,0.0353959976172689
4,2020-03-24,0.535691008892741,0.534129168377408,0.512430666502453,0.55255126021449,0.0328774386892129
5,2020-03-24,0.541130718152335,0.54043318029034,0.522318365747623,0.560098010410103,0.0315462344137279
10,2020-03-24,0.653125932780868,0.6438312842199,0.613619849779974,0.681636092053877,0.0551125003530747
2,2020-03-24,0.525290166936237,0.522836937100174,0.506370923543963,0.543757638558777,0.0346208846633734
5,2020-03-05,0.284404264232619,0.28215540036146,0.26500633060228,0.303474081310463,0.0316096439812089
1,2020-03-05,0.29794630676509,0.298236743426348,0.274883441707665,0.320085220129265,0.0396486208578519
8,2020-03-05,0.277950852322302,0.27950288679244,0.25952256900399,0.300826838576115,0.0313745877493683
7,2020-03-05,0.28217863245997,0.282904144924105,0.265958459804827,0.301266795628151,0.0295320953654791
9,2020-03-05,0.284448045356104,0.286353804806592,0.266083378838967,0.30377464941364,0.0312328115302584
4,2020-03-05,0.286311730100869,0.284614474938746,0.263444380775035,0.307120843104583,0.0341508599602146
2,2020-03-05,0.292086074202672,0.292304673382963,0.274113051534833,0.308931854996193,0.0323609559714973
10,2020-03-05,0.303156590213758,0.301691098591714,0.279912402192186,0.324682342861289,0.0372275623087347
6,2020-03-05,0.279769352602749,0.280532105357715,0.262587289776214,0.300187346388014,0.0311530398884349
3,2020-03-08,0.411709602705586,0.412397408702631,0.392802409781994,0.430302418138826,0.0310527646426201
4,2020-03-27,0.510825754509433,0.513843411164772,0.492798350168691,0.533297802379191,0.0333880872211164
8,2020-03-27,0.55636599815808,0.556169121862411,0.531377247302096,0.579727889530681,0.0380991264236678
1,2020-03-27,0.500614852841591,0.499264096941864,0.475360025953407,0.523416968959454,0.0429135767148748
7,2020-03-26,0.557470394624397,0.558648238593359,0.535496431617477,0.580167312811892,0.033767417427146
5,2020-03-26,0.534341391751748,0.534837220291586,0.516385816305666,0.552315124400626,0.031151668026984
8,2020-03-26,0.574583304926695,0.573121534904607,0.548373331131615,0.599782661110339,0.0375597483630716
1,2020-03-26,0.519336727369644,0.514324414777882,0.490644917509099,0.540026550481159,0.042116181324249
3,2020-03-26,0.523972225356656,0.522679476488225,0.5023378418912,0.543977186044241,0.0344057123401373
6,2020-03-26,0.548893478327701,0.548344469965403,0.528634884324957,0.567534717974325,0.0342899391913644
10,2020-03-26,0.648381695804849,0.63954243162446,0.608862342402003,0.678491470844328,0.0554780133847844
2,2020-03-26,0.516965826210069,0.518170572106159,0.495600911262098,0.538839069682103,0.0325250227927672
7,2020-03-24,0.574580722405495,0.56957914799243,0.549015911555071,0.594817744978878,0.0363124161673345
3,2020-03-24,0.527802950557865,0.528290470944255,0.50633969794744,0.548425915878148,0.0360259797253072
9,2020-03-24,0.607500202201107,0.609782126532188,0.583875745122624,0.636051403415532,0.0395925264504317
3,2020-04-26,0.540870927235567,0.540925557326022,0.522927221975439,0.558968998626757,0.0297967151328047
7,2020-04-26,0.569098264264684,0.565632166981122,0.544516757840137,0.58568130152835,0.0326848361592642
1,2020-04-26,0.528535917713645,0.526609691951869,0.508395843134202,0.546843972183355,0.0377065619367133
9,2020-04-26,0.600807457035523,0.600746563814904,0.573375484065351,0.626597196117814,0.0383764183413441
4,2020-04-26,0.537143331213004,0.540222818332615,0.520542295664364,0.562322084985017,0.033375959192024
5,2020-04-26,0.553720787012814,0.551563445155303,0.529821246927121,0.575362327827651,0.0352361450667263
7,2020-03-29,0.641594381231814,0.642517997311455,0.624993374115465,0.663657947945088,0.0347545970910925
4,2020-03-29,0.617826072730596,0.615591174872753,0.59111320048484,0.637028692089242,0.0364516365004703
9,2020-03-29,0.678648002396559,0.676841560668068,0.65572837282287,0.702390338328425,0.0390049970476857
