decile,dt,dist
9,2020-03-26,0.581971238107028
9,2020-03-27,0.567419755227477
9,2020-03-28,0.601128191132846
9,2020-03-29,0.664850558157289
9,2020-03-30,0.555501689584541
9,2020-03-31,0.551482738711453
9,2020-04-01,0.522289371946495
9,2020-04-02,0.551729753282722
9,2020-04-03,0.545122189596124
9,2020-04-04,0.571986634019228
9,2020-04-05,0.63436392210524
9,2020-04-06,0.540020462024419
9,2020-04-07,0.532628705993432
9,2020-04-08,0.52788939543084
9,2020-04-09,0.507756042358041
9,2020-04-10,0.599725119302033
9,2020-04-11,0.553806057373794
9,2020-04-12,0.606449209959568
9,2020-04-13,0.526603529122264
9,2020-04-14,0.531058714987548
9,2020-04-15,0.519325959780958
9,2020-04-16,0.488914747002029
9,2020-04-17,0.500028500205629
9,2020-04-18,0.529100140448778
9,2020-04-19,0.606715420730231
9,2020-04-20,0.524081779674642
9,2020-04-21,0.579076641311331
9,2020-04-22,0.487470311129916
9,2020-04-23,0.49144375798487
9,2020-04-24,0.480426279112574
9,2020-04-25,0.515631238295407
9,2020-04-26,0.586359005996713
9,2020-04-27,0.494182803128911
9,2020-04-28,0.486066127159204
9,2020-04-29,0.479870063530551
9,2020-04-30,0.465070490152696
9,2020-05-01,0.554693467572064
9,2020-05-02,0.508412476036963
9,2020-05-03,0.567199979754542
9,2020-05-04,0.483927675195585
9,2020-05-05,0.479563723334352
9,2020-05-06,0.485161177321931
9,2020-05-07,0.498377926685344
9,2020-05-08,0.468371877723955
9,2020-05-09,0.485414481853881
9,2020-05-10,0.529858922637811
9,2020-05-11,0.499919397601535
9,2020-05-12,0.498223842116368
9,2020-05-13,0.488590456588491
9,2020-05-14,0.4884295699936
9,2020-05-15,0.477030490799281
9,2020-05-16,0.508842486982144
9,2020-05-17,0.573599123060444
9,2020-05-18,0.482488500837866
9,2020-05-19,0.466543440152191
9,2020-05-20,0.48213475659161
9,2020-05-21,0.48557165700676
9,2020-05-22,0.477860120371136
9,2020-05-23,0.513044443722087
9,2020-05-24,0.587592476157817
9,2020-05-25,0.523055395454567
9,2020-05-26,0.455673131160822
9,2020-05-27,0.459691344571021
9,2020-05-28,0.458113629390156
9,2020-05-29,0.443995513465703
9,2020-05-30,0.466469544579881
9,2020-05-31,0.546818441900342
9,2020-06-01,0.459427551273656
9,2020-06-02,0.471789830879812
9,2020-06-03,0.44515423244054
9,2020-06-04,0.444619331759153
9,2020-06-05,0.445769375493737
9,2020-06-06,0.455292677593723
9,2020-06-07,0.523708763699974
9,2020-06-08,0.434625319522952
9,2020-06-09,0.426769192598075
9,2020-06-10,0.434411827054306
9,2020-06-11,0.428052649114724
9,2020-06-12,0.406502449926166
9,2020-06-13,0.433042103662325
9,2020-06-14,0.554403448516466
9,2020-06-15,0.435750930090079
9,2020-06-16,0.434840257412071
9,2020-06-17,0.403403945759592
9,2020-06-18,0.418653893365503
9,2020-06-19,0.382977166776419
9,2020-06-20,0.415552193197517
9,2020-06-21,0.509789994618037
9,2020-06-22,0.428741549742622
9,2020-06-23,0.419295115983609
9,2020-06-24,0.413971320208476
9,2020-06-25,0.412746634563836
9,2020-06-26,0.409068317408795
9,2020-06-27,0.498060958436729
9,2020-06-28,0.547568894320403
9,2020-06-29,0.441314263023488
9,2020-06-30,0.419681060252892
9,2020-07-01,0.429704196731783
9,2020-07-02,0.420623135648824
9,2020-07-03,0.407428638568487
9,2020-07-04,0.435493003809994
9,2020-07-05,0.50816455110056
9,2020-07-06,0.431358152153276
9,2020-07-07,0.421436929852931
9,2020-07-08,0.41060066110871
9,2020-07-09,0.422902033513867
9,2020-07-10,0.399621400150946
9,2020-07-11,0.423672210922488
9,2020-07-12,0.503542906702441
9,2020-07-13,0.426005459073356
9,2020-07-14,0.440908802198989
9,2020-07-15,0.424352684353557
9,2020-07-16,0.41869120619547
9,2020-07-17,0.373586249198622
9,2020-07-18,0.405568257643435
9,2020-07-19,0.496111127379908
9,2020-07-20,0.41576597443426
9,2020-07-21,0.41630923915607
9,2020-07-22,0.402191474627456
9,2020-07-23,0.401205026775975
9,2020-07-24,0.394598056606642
9,2020-07-25,0.416251943785766
9,2020-07-26,0.51133803003035
9,2020-07-27,0.416703545962517
9,2020-07-28,0.412204280487389
9,2020-07-29,0.415376963158335
9,2020-07-30,0.421953762972796
9,2020-07-31,0.395316768959978
9,2020-08-01,0.41925148991936
9,2020-08-02,0.49393096721791
